"gender";"carType";"carCategory";"occupation";"age";"carGroup";"carValue";"material";"region";"cityDensity";"claimValue"
"Male";"A";"Small";"Unemployed";58;"12";11515;"1";"U";125,13205;2421,171
"Male";"B";"Medium";"Unemployed";21;"4";12780;"0";"R";270,87401;347,3717
"Male";"D";"Small";"Employed";30;"6";15745;"1";"Q";186,68501;685,3481
"Male";"A";"Small";"Housewife";27;"15";18350;"0";"M";183,89504;653,6556
"Female";"E";"Small";"Employed";22;"12";19220;"0";"Q";140,41083;260,1664
"Male";"B";"Small";"Employed";20;"12";11255;"0";"O";34,81202;1693,099
"Male";"C";"Small";"Employed";24;"10";9635;"0";"R";291,31949;558,3032
"Female";"F";"Large";"Retired";122;"1";7995;"0";"N";137,81518;1722,035
"Male";"A";"Small";"Unemployed";22;"14";19065;"0";"L";50,62578;35523,25
"Male";"C";"Large";"Housewife";81;"5";13475;"1";"M";156,10423;376,0235
"Male";"E";"Large";"Employed";34;"14";118550;"0";"U";33,2943;532,8293
"Male";"E";"Small";"Housewife";22;"7";38820;"0";"U";88,29015;460,1659
"Male";"D";"Medium";"Self-employed";47;"12";29880;"1";"Q";211,83095;1982,407
"Male";"B";"Small";"Unemployed";37;"17";10965;"1";"Q";201,39181;128,5497
"Male";"A";"Large";"Employed";41;"16";22380;"1";"L";59,63322;270,2368
"Male";"C";"Large";"Self-employed";18;"11";6910;"0";"U";38,77084;1062,417
"Female";"D";"Small";"Employed";24;"4";4150;"1";"L";59,70219;4375,864
"Male";"C";"Medium";"Employed";43;"14";42985;"0";"Q";148,49451;1423,449
"Female";"A";"Medium";"Self-employed";19;"5";8500;"0";"R";284,21627;5988,277
"Female";"D";"Medium";"Employed";38;"7";11395;"1";"L";73,65272;133,202
"Male";"C";"Medium";"Unemployed";43;"6";3930;"1";"M";222,69298;3229,551
"Male";"E";"Small";"Employed";32;"15";41990;"0";"S";34,15043;753,0031
"Female";"F";"Small";"Self-employed";33;"11";17445;"0";"N";106,5583;3090,648
"Female";"A";"Large";"Housewife";37;"13";26690;"1";"R";221,7064;193,1196
"Female";"B";"Large";"Housewife";41;"7";22170;"0";"N";113,22483;244,6842
"Male";"E";"Large";"Employed";22;"15";21100;"0";"M";103,47274;2153,591
"Female";"F";"Medium";"Self-employed";89;"16";4965;"1";"R";240,0004;409,813
"Male";"A";"Medium";"Employed";32;"7";31550;"1";"O";34,81202;171,2868
"Male";"A";"Medium";"Unemployed";48;"17";1250;"1";"L";57,06268;2414,912
"Male";"C";"Medium";"Housewife";29;"5";5755;"1";"R";253,61989;529,9568
"Female";"C";"Large";"Employed";89;"16";34405;"1";"Q";139,20567;1110,247
"Female";"A";"Large";"Employed";38;"14";24530;"1";"Q";140,41083;574,9736
"Male";"B";"Large";"Unemployed";59;"19";16335;"1";"Q";122,44969;324,2974
"Male";"E";"Small";"Employed";35;"19";27810;"0";"Q";239,45517;486,2306
"Male";"D";"Large";"Housewife";54;"11";5915;"1";"L";59,11189;806,5652
"Female";"A";"Small";"Employed";23;"1";6520;"0";"R";223,34756;164,7842
"Male";"C";"Large";"Housewife";76;"12";15310;"0";"Q";149,99781;208,2105
"Male";"C";"Medium";"Self-employed";50;"12";14130;"1";"M";141,03687;255,621
"Male";"E";"Large";"Employed";35;"13";15450;"0";"Q";169,52915;1092,437
"Female";"D";"Large";"Employed";43;"20";116755;"0";"Q";138,50667;6070,55
"Male";"B";"Small";"Employed";18;"13";12920;"0";"L";67,56458;2693,308
"Female";"A";"Medium";"Employed";22;"13";17930;"0";"L";51,09148;3204,794
"Male";"D";"Small";"Housewife";32;"15";5235;"1";"L";67,42479;170,0916
"Female";"D";"Small";"Unemployed";20;"3";22610;"1";"R";275,09234;567,5684
"Male";"D";"Large";"Employed";26;"10";13505;"1";"L";32,72004;265,5328
"Male";"D";"Small";"Self-employed";51;"13";6540;"1";"Q";174,64452;334,149
"Female";"B";"Large";"Employed";44;"11";45515;"1";"R";276,9455;538,3883
"Female";"A";"Medium";"Self-employed";31;"14";40470;"0";"P";47,59307;1870,842
"Female";"A";"Medium";"Unemployed";86;"11";29270;"0";"M";129,41948;1120,972
"Female";"E";"Small";"Unemployed";31;"18";17450;"1";"Q";167,93666;1465,044
"Male";"B";"Large";"Housewife";61;"16";42500;"0";"M";190,05156;1253,879
"Female";"F";"Small";"Unemployed";31;"12";7865;"1";"R";253,61989;1117,603
"Female";"E";"Small";"Self-employed";29;"9";9265;"0";"R";276,9455;1382,74
"Female";"D";"Small";"Housewife";20;"8";10900;"0";"N";139,60621;25,36063
"Male";"B";"Large";"Housewife";40;"3";24195;"1";"M";94,36462;5972,008
"Male";"C";"Small";"Unemployed";36;"13";8770;"0";"R";285,62174;1069,44
"Male";"C";"Medium";"Employed";19;"8";23045;"1";"R";223,30857;857,6055
"Female";"C";"Small";"Housewife";22;"17";27510;"1";"Q";167,93666;680,3204
"Male";"A";"Small";"Housewife";39;"16";7840;"1";"L";75,62346;503,1531
"Male";"A";"Medium";"Unemployed";45;"19";16315;"1";"R";275,09234;2001,947
"Male";"F";"Medium";"Housewife";39;"18";10795;"1";"N";47,9827;1474,18
"Male";"E";"Large";"Housewife";42;"14";7700;"0";"L";73,46171;810,8944
"Male";"D";"Small";"Employed";36;"12";34805;"1";"P";31,88091;197,1397
"Male";"B";"Small";"Unemployed";20;"11";22845;"0";"R";225,04309;12245,13
"Male";"C";"Large";"Employed";29;"9";12615;"0";"R";270,78835;524,3715
"Male";"B";"Small";"Employed";35;"10";3975;"1";"N";106,5583;1296,591
"Male";"C";"Large";"Self-employed";47;"18";41280;"0";"Q";129,85524;2757,952
"Male";"F";"Large";"Self-employed";53;"10";10540;"0";"M";153,45232;1037,602
"Male";"A";"Medium";"Employed";19;"14";129430;"0";"N";100,83378;5547,871
"Male";"F";"Small";"Self-employed";36;"13";25290;"1";"R";293,55604;189,5654
"Male";"A";"Medium";"Employed";23;"11";3810;"0";"N";137,81518;9,902895
"Male";"B";"Medium";"Employed";19;"6";111070;"0";"R";290,13272;1274,179
"Male";"B";"Small";"Employed";19;"8";17865;"0";"R";295,79709;3981,095
"Male";"E";"Large";"Retired";49;"12";16375;"1";"M";148,99563;2185,903
"Female";"C";"Medium";"Self-employed";26;"15";6855;"0";"M";129,41948;1375,067
"Male";"A";"Small";"Employed";23;"17";19620;"0";"Q";148,40185;3187,768
"Male";"D";"Large";"Employed";20;"7";8500;"0";"M";153,45232;260,3237
"Male";"D";"Medium";"Employed";18;"14";8040;"0";"R";225,14174;3966,049
"Female";"D";"Large";"Employed";19;"12";22430;"1";"Q";136,1308;277,6638
"Male";"A";"Small";"Unemployed";23;"7";24010;"1";"U";114,88158;217,5727
"Male";"B";"Medium";"Unemployed";83;"3";26580;"0";"R";258,92373;12201,47
"Female";"E";"Small";"Self-employed";42;"20";1160;"1";"M";184,47852;299,1585
"Male";"A";"Small";"Unemployed";29;"14";26760;"0";"M";178,24431;5407,919
"Female";"B";"Large";"Housewife";52;"13";16465;"1";"Q";148,56121;516,8073
"Male";"B";"Large";"Self-employed";35;"20";27275;"0";"O";31,06929;486,7169
"Male";"C";"Large";"Unemployed";24;"14";10665;"0";"L";63,52111;1456,369
"Male";"C";"Medium";"Self-employed";30;"13";20180;"0";"Q";114,1467;2136,072
"Female";"B";"Medium";"Housewife";22;"14";5555;"0";"Q";147,96906;621,6854
"Female";"D";"Medium";"Self-employed";41;"9";33655;"0";"Q";186,68501;273,842
"Male";"B";"Small";"Housewife";27;"6";8175;"1";"U";137,88733;72,3494
"Female";"B";"Large";"Housewife";43;"16";23240;"0";"Q";129,85524;539,958
"Male";"F";"Large";"Employed";80;"18";9435;"0";"Q";123,01993;345,0773
"Male";"B";"Large";"Unemployed";23;"3";20400;"1";"U";58,60475;1570,044
"Male";"B";"Small";"Employed";28;"8";22145;"0";"R";293,55604;1184,764
"Male";"C";"Small";"Employed";103;"13";14535;"0";"M";129,41948;28,82753
"Female";"A";"Small";"Self-employed";18;"7";7675;"1";"S";14,37714;783,8921
"Female";"D";"Medium";"Self-employed";39;"11";15705;"0";"M";141,03687;611,3223
"Male";"D";"Small";"Unemployed";27;"8";17620;"0";"S";34,81096;38547,86
"Female";"A";"Small";"Employed";25;"12";106660;"0";"Q";167,93666;989,5125
"Female";"B";"Small";"Employed";20;"9";18935;"0";"R";208,81644;7205,095
"Male";"B";"Large";"Employed";22;"11";7420;"0";"R";275,09234;606,8992
"Female";"D";"Small";"Unemployed";20;"9";9600;"1";"Q";129,31561;1263,743
"Male";"B";"Small";"Unemployed";18;"9";20580;"0";"R";248,51212;2364,745
"Male";"A";"Large";"Housewife";35;"11";6295;"1";"Q";207,14462;1255,976
"Female";"B";"Large";"Self-employed";63;"14";26405;"0";"R";276,33557;632,3134
"Female";"D";"Large";"Retired";64;"19";8435;"1";"R";285,62174;798,0936
"Male";"C";"Small";"Employed";20;"16";13440;"0";"L";53,43201;413,327
"Male";"C";"Medium";"Employed";32;"8";9115;"0";"U";91,54176;1482,858
"Male";"D";"Large";"Self-employed";31;"4";1745;"0";"R";291,31949;715,8103
"Male";"F";"Large";"Self-employed";44;"9";9205;"1";"M";201,65691;19830,47
"Male";"E";"Small";"Employed";21;"13";39895;"0";"M";216,4916;174,8931
"Female";"C";"Small";"Unemployed";22;"9";12725;"0";"O";32,0415;987,8133
"Male";"A";"Large";"Housewife";56;"20";10935;"1";"R";272,96699;57,02862
"Male";"B";"Small";"Employed";28;"3";24650;"0";"M";156,62986;9,146143
"Male";"B";"Medium";"Self-employed";25;"11";17000;"1";"R";293,55604;827,3143
"Male";"B";"Small";"Employed";24;"4";14615;"1";"Q";239,45517;1144,195
"Male";"C";"Medium";"Self-employed";53;"11";9800;"0";"Q";148,40185;1089,469
"Male";"B";"Medium";"Self-employed";32;"5";14790;"1";"N";118,85101;236,9112
"Male";"B";"Medium";"Self-employed";30;"11";24285;"0";"L";53,43201;1723,777
"Female";"E";"Medium";"Self-employed";52;"13";24235;"1";"L";71,71656;450,0786
"Male";"D";"Medium";"Employed";22;"12";45200;"0";"M";153,45232;1473,445
"Female";"B";"Small";"Housewife";38;"6";119125;"0";"O";31,49452;2308,95
"Male";"C";"Large";"Self-employed";23;"17";4805;"0";"L";44,92088;1156,802
"Male";"A";"Large";"Employed";37;"11";9435;"1";"S";15,89254;105,1592
"Female";"D";"Medium";"Employed";18;"10";6055;"0";"L";54,19066;303,746
"Male";"B";"Small";"Employed";21;"10";22920;"1";"U";125,13205;1526,183
"Female";"B";"Medium";"Employed";26;"11";11870;"0";"U";121,58702;1266,948
"Male";"A";"Medium";"Unemployed";24;"7";41670;"0";"U";137,88733;3596,031
"Male";"B";"Large";"Employed";29;"11";8485;"0";"U";58,60475;1032,927
"Male";"B";"Large";"Employed";33;"4";45330;"1";"R";208,81644;607,5
"Male";"F";"Medium";"Employed";19;"2";26590;"0";"M";184,47852;696,8124
"Male";"B";"Small";"Unemployed";43;"2";19475;"1";"P";40,08261;33,4514
"Male";"C";"Medium";"Housewife";29;"4";18640;"1";"N";118,85101;548,8533
"Male";"B";"Large";"Housewife";46;"9";46735;"1";"L";83,90454;292,2239
"Male";"E";"Medium";"Unemployed";20;"15";47550;"0";"N";106,5583;5934,236
"Female";"D";"Large";"Self-employed";40;"12";29990;"1";"M";153,45232;13597,96
"Male";"B";"Medium";"Employed";30;"8";7825;"1";"L";72,01288;786,0483
"Male";"C";"Medium";"Unemployed";39;"14";5050;"0";"N";106,5583;1255,179
"Male";"B";"Small";"Employed";85;"16";24365;"1";"T";31,988;38,071
"Female";"B";"Small";"Employed";42;"13";20530;"1";"Q";181,41656;165,2098
"Male";"C";"Small";"Employed";27;"11";18395;"0";"Q";166,55494;1996,402
"Male";"B";"Small";"Housewife";46;"9";2170;"1";"U";59,32884;497,8584
"Male";"D";"Large";"Self-employed";66;"14";33860;"0";"Q";213,25565;60,77565
"Male";"F";"Medium";"Housewife";39;"9";24805;"1";"R";270,87401;2998,828
"Female";"A";"Medium";"Self-employed";19;"20";23615;"1";"U";94,65752;47,13817
"Female";"A";"Small";"Employed";33;"17";10125;"1";"L";66,12046;540,4936
"Male";"A";"Medium";"Employed";42;"14";6640;"1";"Q";185,13454;1002,887
"Male";"B";"Medium";"Employed";33;"19";24745;"0";"R";270,87401;1380,091
"Female";"E";"Large";"Employed";30;"6";2015;"0";"L";61,56399;490,7335
"Female";"C";"Small";"Unemployed";36;"18";18565;"0";"Q";222,73537;771,8704
"Male";"B";"Small";"Unemployed";18;"13";25795;"1";"R";295,79709;16255,51
"Male";"D";"Small";"Employed";24;"12";13860;"0";"L";73,26207;699,924
"Female";"A";"Medium";"Employed";39;"11";127170;"1";"L";82,67021;134,0342
"Male";"D";"Large";"Self-employed";56;"1";7650;"0";"R";245,33115;21334,49
"Male";"D";"Medium";"Housewife";68;"13";22995;"1";"Q";237,67552;502,5011
"Female";"A";"Small";"Employed";32;"6";22605;"0";"Q";125,94563;990,4328
"Male";"B";"Medium";"Housewife";60;"9";16840;"0";"L";100,93123;455,4083
"Female";"C";"Medium";"Self-employed";20;"13";42730;"0";"L";59,63322;6416,121
"Male";"E";"Large";"Retired";54;"9";17070;"0";"U";59,40379;1087,214
"Female";"E";"Medium";"Employed";21;"19";29105;"0";"L";60,91112;587,1958
"Male";"C";"Small";"Employed";19;"12";23480;"0";"R";260,36019;1585,81
"Female";"B";"Large";"Employed";25;"15";7485;"0";"R";270,78835;3255,536
"Male";"B";"Medium";"Self-employed";45;"16";119165;"0";"U";125,13205;264,2161
"Female";"D";"Large";"Self-employed";43;"7";20050;"0";"T";32,99315;865,2304
"Male";"B";"Medium";"Housewife";44;"14";8460;"1";"Q";206,23028;697,3435
"Male";"D";"Medium";"Unemployed";19;"8";7270;"0";"M";99,28308;626,1622
"Female";"C";"Large";"Self-employed";37;"14";8645;"1";"Q";174,64452;254,7047
"Male";"B";"Large";"Housewife";33;"12";23820;"0";"L";63,15287;845,0523
"Female";"B";"Medium";"Employed";37;"18";112680;"0";"L";69,7282;50,0667
"Male";"F";"Medium";"Employed";41;"16";37070;"1";"N";133,28864;662,0842
"Male";"A";"Large";"Unemployed";33;"13";14655;"1";"R";293,55604;1097,606
"Female";"E";"Large";"Self-employed";30;"10";13835;"0";"R";259,00406;2951,78
"Male";"A";"Medium";"Housewife";19;"5";9760;"0";"M";156,10423;129,8519
"Male";"A";"Large";"Unemployed";54;"17";22375;"1";"R";222,71139;2030,092
"Male";"A";"Medium";"Self-employed";22;"10";16185;"0";"Q";239,45517;519,9755
"Female";"A";"Medium";"Unemployed";35;"7";8745;"0";"L";67,42479;205,8114
"Male";"D";"Medium";"Employed";28;"14";16560;"0";"R";259,00406;1847,189
"Male";"D";"Medium";"Unemployed";27;"11";10895;"0";"L";100,30486;990,9213
"Male";"D";"Large";"Unemployed";46;"19";15580;"1";"S";21,95355;1092,525
"Male";"C";"Medium";"Unemployed";18;"12";20490;"0";"R";223,34756;3098,157
"Male";"A";"Large";"Unemployed";39;"15";23235;"1";"S";17,11532;5736,709
"Male";"A";"Medium";"Self-employed";27;"8";29110;"1";"Q";148,49451;2359,762
"Male";"A";"Medium";"Employed";19;"2";7590;"0";"L";40,09454;1047,144
"Male";"A";"Large";"Retired";65;"4";4695;"0";"R";232,90298;226,2051
"Male";"A";"Large";"Housewife";73;"12";45055;"1";"R";284,21627;1688,389
"Male";"A";"Small";"Employed";20;"17";15465;"1";"Q";149,99781;531,2378
"Male";"C";"Medium";"Unemployed";19;"6";19325;"1";"R";208,81644;2280,641
"Female";"C";"Medium";"Unemployed";21;"14";24240;"0";"M";141,03687;3188,343
"Female";"A";"Large";"Employed";21;"14";21565;"0";"R";258,92373;1108,862
"Female";"C";"Large";"Housewife";49;"15";15555;"1";"S";31,81626;103,9457
"Male";"A";"Large";"Housewife";73;"4";15560;"1";"R";272,96699;287,7188
"Male";"F";"Small";"Employed";22;"5";17890;"0";"M";153,45232;11950,08
"Male";"A";"Small";"Housewife";53;"8";16450;"1";"L";61,11231;1523,774
"Male";"E";"Medium";"Self-employed";27;"10";22970;"0";"R";185,85139;192,0552
"Male";"C";"Small";"Housewife";75;"15";28490;"1";"L";64,53563;468,6642
"Male";"D";"Small";"Unemployed";38;"11";13960;"0";"T";24,89492;390,1592
"Female";"D";"Medium";"Housewife";21;"9";18740;"0";"L";129,67795;4467,035
"Male";"F";"Small";"Housewife";40;"11";17630;"0";"P";24,01754;828,5117
"Male";"A";"Small";"Housewife";25;"15";33870;"0";"Q";161,43895;477,6902
"Male";"B";"Small";"Employed";45;"15";12060;"1";"L";66,65715;29,05846
"Male";"B";"Small";"Employed";24;"5";13065;"0";"L";85,63167;215,0785
"Male";"C";"Small";"Employed";26;"16";11035;"0";"R";259,00406;770,1377
"Male";"A";"Small";"Employed";19;"13";18295;"1";"L";79,15945;1659,265
"Male";"C";"Small";"Housewife";20;"6";1525;"0";"M";201,65691;4445,364
"Male";"A";"Medium";"Employed";22;"18";28320;"0";"L";73,26207;5281,991
"Male";"D";"Small";"Unemployed";42;"10";6870;"1";"Q";211,83095;322,8715
"Male";"D";"Small";"Housewife";18;"13";9360;"0";"R";276,33557;1844,967
"Female";"D";"Small";"Self-employed";30;"9";29180;"0";"R";251,43285;1058,269
"Male";"C";"Medium";"Housewife";35;"10";22370;"1";"Q";138,50667;324,7575
"Female";"F";"Large";"Self-employed";67;"17";24750;"0";"Q";160,34357;3398,944
"Male";"A";"Small";"Employed";23;"6";23600;"1";"Q";169,78856;318,2171
"Male";"F";"Small";"Unemployed";24;"4";23555;"0";"U";99,17167;293,174
"Female";"A";"Small";"Employed";25;"6";16130;"1";"R";272,96699;275,2368
"Male";"F";"Medium";"Unemployed";18;"15";8600;"0";"L";63,17028;2343,224
"Female";"E";"Large";"Unemployed";25;"9";39255;"0";"N";109,63189;60,91108
"Male";"D";"Small";"Unemployed";28;"4";8255;"0";"M";139,283;2191,715
"Female";"D";"Medium";"Unemployed";39;"14";18770;"1";"N";43,18967;2032,975
"Female";"E";"Small";"Self-employed";26;"17";4020;"1";"R";218,98323;366,0273
"Male";"C";"Large";"Employed";31;"14";35925;"1";"L";66,46783;89,54238
"Female";"B";"Medium";"Self-employed";19;"14";5630;"0";"Q";161,43895;1630,261
"Female";"D";"Large";"Housewife";45;"3";108985;"1";"Q";168,64996;186,8492
"Female";"C";"Medium";"Housewife";60;"18";30995;"0";"Q";91,28099;0,8804561
"Male";"A";"Medium";"Self-employed";49;"16";29385;"1";"T";30,7932;493,2459
"Male";"B";"Small";"Housewife";41;"16";27490;"1";"R";245,33115;349,1608
"Female";"C";"Medium";"Housewife";48;"15";20050;"0";"R";253,61989;1709,996
"Male";"A";"Medium";"Unemployed";24;"17";17160;"0";"M";216,4916;1512,382
"Male";"C";"Large";"Retired";55;"15";28700;"0";"L";99,57982;2381,93
"Male";"D";"Small";"Housewife";26;"5";4730;"1";"Q";110,98368;107,1754
"Male";"B";"Large";"Housewife";48;"11";2860;"1";"Q";161,43895;304,3862
"Male";"E";"Large";"Employed";44;"16";20255;"0";"Q";202,53359;499,5768
"Male";"A";"Medium";"Self-employed";39;"13";7820;"1";"L";68,39045;737,9603
"Male";"D";"Large";"Employed";34;"15";11345;"1";"R";253,61989;1582,176
"Male";"D";"Small";"Employed";27;"19";22720;"0";"L";84,00797;603,5295
"Male";"B";"Small";"Housewife";22;"10";18530;"0";"N";113,22483;3871,568
"Male";"D";"Large";"Housewife";83;"15";9680;"0";"N";137,81518;669,4169
"Male";"D";"Small";"Self-employed";39;"12";4890;"1";"R";275,09234;2064,235
"Male";"D";"Medium";"Employed";21;"16";7490;"0";"L";71,62174;2464,306
"Male";"A";"Small";"Housewife";32;"5";8150;"1";"M";156,10423;753,3066
"Female";"C";"Medium";"Employed";26;"3";107290;"1";"R";272,96699;38,76037
"Male";"B";"Large";"Employed";75;"9";8495;"0";"R";260,36019;512,8072
"Male";"C";"Small";"Self-employed";20;"6";3165;"0";"Q";205,4308;3147,167
"Male";"D";"Small";"Employed";26;"14";29475;"0";"P";24,01754;77,78266
"Male";"B";"Medium";"Unemployed";27;"6";25845;"0";"Q";114,1467;1033,494
"Female";"F";"Large";"Unemployed";53;"14";9560;"1";"R";276,33557;128,1255
"Male";"B";"Large";"Retired";74;"15";6550;"1";"L";68,90935;380,3749
"Male";"C";"Large";"Self-employed";58;"13";16980;"0";"Q";129,31561;676,5329
"Female";"F";"Large";"Employed";48;"10";7130;"0";"L";73,2525;133,9694
"Male";"A";"Medium";"Housewife";42;"14";4245;"1";"R";240,0004;612,8402
"Male";"A";"Medium";"Housewife";90;"13";19485;"0";"L";66,46783;1914,796
"Male";"E";"Small";"Employed";37;"14";7975;"1";"L";55,9646;73,08133
"Male";"E";"Large";"Retired";61;"18";6830;"0";"Q";141,48966;2083,31
"Male";"C";"Small";"Self-employed";42;"8";8255;"1";"N";33,65195;30,44513
"Male";"A";"Large";"Employed";44;"9";10785;"1";"R";293,55604;942,6061
"Female";"A";"Medium";"Employed";26;"11";16010;"0";"O";31,49452;5040,992
"Male";"E";"Medium";"Unemployed";32;"11";9945;"1";"R";180,08313;60,47065
"Female";"C";"Medium";"Employed";29;"9";18000;"1";"Q";239,45517;424,3695
"Male";"A";"Medium";"Self-employed";34;"18";9385;"0";"M";129,41948;1858,458
"Male";"B";"Small";"Self-employed";21;"7";19170;"1";"Q";110,98368;2845,876
"Male";"D";"Small";"Employed";37;"6";4740;"1";"N";51,33278;5485,571
"Female";"A";"Medium";"Housewife";41;"11";44845;"1";"M";103,47274;442,0495
